address,name,mode,confidence
0x080175AA,FUN_080175aa,thumb,direct-call
0x080175D4,FUN_080175d4,thumb,direct-call+exact-body
0x08017690,FUN_08017690,thumb,direct-call+exact-body
0x080176E4,FUN_080176e4,thumb,direct-call+exact-body
0x080177B8,FUN_080177b8,thumb,direct-call
0x080178D0,FUN_080178d0,thumb,direct-call+exact-body
0x08017964,FUN_08017964,thumb,direct-call+exact-body
0x080179D0,FUN_080179d0,thumb,recursive-disassembly+exact-body
0x08017A80,FUN_08017a80,thumb,sequential-prologue+complete-control-flow+exact-body
0x08017B74,FUN_08017b74,thumb,direct-call
0x08017C5C,FUN_08017c5c,thumb,direct-call+exact-body
0x08017C74,FUN_08017c74,thumb,direct-call+exact-body
0x08017CB0,FUN_08017cb0,thumb,direct-call+exact-body
0x08017CD8,FUN_08017cd8,thumb,direct-call+exact-body
0x08017CF4,FUN_08017cf4,thumb,direct-call+exact-body
0x08017D58,FUN_08017d58,thumb,direct-call+exact-body
0x08017D78,FUN_08017d78,thumb,direct-call+exact-body
0x08017DE8,FUN_08017de8,thumb,direct-call+exact-body
0x08017E5C,FUN_08017e5c,thumb,direct-call+exact-body
0x08017ED0,FUN_08017ed0,thumb,direct-call+exact-body
0x08017EEC,FUN_08017eec,thumb,direct-call+exact-body
0x08017F00,FUN_08017f00,thumb,direct-call+exact-body
0x08017F34,FUN_08017f34,thumb,direct-call+exact-body
0x08017F58,FUN_08017f58,thumb,direct-call+exact-body
0x08017F6C,FUN_08017f6c,thumb,direct-call+exact-body
0x08017F80,FUN_08017f80,thumb,recursive-disassembly+exact-body
0x08017FB0,FUN_08017fb0,thumb,direct-call+exact-body
0x08018004,FUN_08018004,thumb,direct-call+exact-body
0x0801808C,FUN_0801808c,thumb,recursive-disassembly+exact-body
0x080180D4,FUN_080180d4,thumb,coherent-leaf+owned-literal-pool+exact-body
0x080180F0,FUN_080180f0,thumb,direct-call+exact-body
0x0801816C,FUN_0801816c,thumb,direct-call+exact-body
0x08018204,FUN_08018204,thumb,direct-call+exact-body
0x0801824C,FUN_0801824c,thumb,recursive-disassembly+exact-body
0x080182AC,FUN_080182ac,thumb,direct-call+exact-body
0x080182E4,FUN_080182e4,thumb,direct-call+exact-body
0x08018300,FUN_08018300,thumb,direct-call+exact-body
0x08018318,FUN_08018318,thumb,direct-call+exact-body
0x08018390,FUN_08018390,thumb,direct-call+exact-body
0x0801839C,FUN_0801839c,thumb,recursive-disassembly+exact-body
0x080183C4,FUN_080183c4,thumb,coherent-leaf+owned-literal-pool+exact-body
0x080183D0,FUN_080183d0,thumb,direct-call+exact-body
0x08018410,FUN_08018410,thumb,coherent-leaf+owned-literal-pool+exact-body
0x08018444,FUN_08018444,thumb,direct-call+exact-body
0x080184C8,FUN_080184c8,thumb,direct-call+exact-body
0x08018530,FUN_08018530,thumb,direct-call+exact-body
0x0801856C,FUN_0801856c,thumb,direct-call+exact-body
0x080185A8,FUN_080185a8,thumb,owned-literal-pool+exact-body
0x080185CC,FUN_080185cc,thumb,rom-pointer+exact-body
0x080185D8,FUN_080185d8,thumb,rom-pointer+exact-body
0x08018654,FUN_08018654,thumb,rom-pointer+direct-call+exact-body
0x08018664,FUN_08018664,thumb,rom-pointer+exact-body
0x08018668,FUN_08018668,thumb,rom-pointer+exact-body
0x08018678,MultiSioSyncInitialize,thumb,direct-call+public-multisiosync-behavior+exact-body
0x08018730,FUN_08018730,thumb,direct-call+public-multisiosync-order+exact-body
0x0801886C,FUN_0801886c,thumb,direct-call+public-multisiosync-order+exact-body
0x08018918,FUN_08018918,thumb,direct-call+public-multisiosync-order+exact-body
0x08018A8C,MultiSioSyncVSync,thumb,direct-call+public-multisiosync-behavior+exact-body
0x08018B24,MultiSioSyncInterrupt,thumb,rom-pointer+public-multisiosync-behavior+exact-body
0x08018C20,FUN_08018c20,thumb,direct-call+public-multisiosync-order+exact-body
0x08018C3C,FUN_08018c3c,thumb,direct-call+public-multisiosync-order+exact-body
0x08018C8C,MultiBootMain,thumb,direct-call+sa2-object-correlation+exact-body
0x080191A8,MultiBootSend,thumb,direct-call+sa2-object-correlation+exact-body
0x08019220,MultiBootStartProbe,thumb,direct-call+sa2-relocation-masked-byte-match+exact-body
0x08019274,MultiBootStartMaster,thumb,direct-call+sa2-relocation-masked-byte-match+exact-body
0x080193B4,MultiBootHandShake,thumb,direct-call+sa2-relocation-masked-byte-match+exact-body
0x080194D0,MultiBootInit,thumb,direct-call+sa2-object-correlation+exact-body
0x0801950C,MultiBootCheckComplete,thumb,direct-call+sa2-relocation-masked-byte-match+exact-body
0x08019520,MultiBootWaitSendDone,thumb,direct-call+sa2-object-correlation+exact-body
