address,end
0x0801c8f0,0x0801C906
0x0801c910,0x0801C926
0x0801c930,0x0801C958
0x0801c968,0x0801CE70
0x0801ce70,0x0801CE86
0x0801ce8c,0x0801CEEC
0x0801ceec,0x0801CF34
0x0801cf34,0x0801CF80
0x0801cf80,0x0801CFA2
0x0801cfa4,0x0801CFC6
0x0801cfc8,0x0801D066
0x0801d068,0x0801D188
0x0801d188,0x0801D1FE
0x0801d200,0x0801D286
0x0801d288,0x0801D368
0x0801d370,0x0801D3A6
0x0801d3ac,0x0801D3FC
0x0801d408,0x0801D464
0x0801d5b6,0x0801D5D4
0x0801d5d4,0x0801D60E
0x0801d618,0x0801D67A
0x0801d70a,0x0801D870
0x0801d870,0x0801D8DC
0x0801d8f4,0x0801D9DC
0x0801d9e0,0x0801DAE0
0x0801daec,0x0801DB3C
0x0801db4c,0x0801DBB8
0x0801dbd0,0x0801DD2C
0x0801dda0,0x0801DE5A
0x0801de5c,0x0801DEB0
0x0801debc,0x0801DF10
0x0801df1c,0x0801DF70
0x0801df7c,0x0801DFD0
0x0801dfdc,0x0801E038
0x0801e044,0x0801E0B4
0x0801e0c4,0x0801E16E
0x0801e174,0x0801E256
0x0801e258,0x0801E2B8
0x0801e2c8,0x0801E334
0x0801e34c,0x0801E3C0
0x0801e3cc,0x0801E40C
0x0801e41c,0x0801E4F0
0x0801e4f4,0x0801E60E
0x0801e62c,0x0801E68E
0x0801e6a0,0x0801E99C
0x0801e99c,0x0801E9E0
0x0801e9ec,0x0801EA28
0x0801ea38,0x0801EA64
0x0801ea6c,0x0801EABE
0x0801eacc,0x0801EAF0
0x0801eaf8,0x0801EB1C
0x0801eb24,0x0801EB48
0x0801eb50,0x0801EB84
0x0801eb94,0x0801EBB0
0x0801ebb0,0x0801EBE4
0x0801ebf4,0x0801EC10
0x0801ec10,0x0801EC52
0x0801ec64,0x0801ECA6
0x0801ecb8,0x0801ECFA
0x0801ed0c,0x0801ED40
0x0801ed50,0x0801ED6C
0x0801ed6c,0x0801EDB4
0x0801edc0,0x0801EDDC
0x0801eddc,0x0801EE24
0x0801ee30,0x0801EE4C
0x0801ee4c,0x0801EEA8
0x0801eea8,0x0801EED2
0x0801eee0,0x0801EF08
0x0801ef14,0x0801EF42
0x0801ef4c,0x0801EF70
0x0801ef7c,0x0801EFD4
0x0801efd4,0x0801F018
0x0801f024,0x0801F02A
0x0801f030,0x0801F050
0x0801f058,0x0801F078
0x0801f080,0x0801F124
0x0801f128,0x0801F1CC
0x0801f1d0,0x0801F26E
0x0801f274,0x0801F304
0x0801f308,0x0801F31A
0x0801f31c,0x0801F34E
0x0801f350,0x0801F3A4
0x0801f3a4,0x0801F3AE
0x0801f3b0,0x0801F3DE
0x0801f3e4,0x0801F412
0x0801f418,0x0801F442
0x0801f448,0x0801F46E
0x0801f474,0x0801F4F0
0x0801f4f4,0x0801F520
0x0801f524,0x0801F576
0x0801f578,0x0801F5EA
0x0801f5ec,0x0801F5FC
0x0801f600,0x0801F60A
0x0801f60c,0x0801F616
